ODB Name,Step,Frame,Part Instance Name,      µ¥Ôª±êÇ©,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,S-Max. In-Plane Principal,S-Min. In-Plane Principal,         S-S11,         S-S22,         S-S12
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             1,             1,      -1.75538,   955.946E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00895,      -1.31965,      -1.31889,      -1.00971,  -15.3828E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             2,             1,      -1.75634,   257.410E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.02148,      -1.30405,      -1.30377,      -1.02177,  -9.02444E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             3,             1,      -2.07393,      -1.08534,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00973,      -1.31795,      -1.31764,      -1.01004,   9.79208E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             4,             1,       1.43363,       1.77982,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -992.756E-03,      -1.33324,      -1.33259,  -993.411E-03,   14.9120E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             5,             1,       1.75124,       1.34711,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00115,      -1.32393,      -1.32279,      -1.00229,   19.1915E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             6,             1,       1.89577,      -1.66937,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00573,      -1.32581,      -1.32522,      -1.00632,  -13.7407E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             7,             1,  -10.7208E-03,       1.82307,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -990.640E-03,      -1.34351,      -1.34340,  -990.748E-03,  -6.18643E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             8,             1,  -838.834E-03,      -1.99729,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -994.001E-03,      -1.33451,      -1.33414,  -994.372E-03,   11.2409E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",             9,             1,       1.91612,      -1.49343,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00686,      -1.32480,      -1.32417,      -1.00749,  -14.1442E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            10,             1,      -1.78745,  -504.603E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01813,      -1.30810,      -1.30780,      -1.01843,   9.34966E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            11,             1,       1.93542,   614.853E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01880,      -1.30711,      -1.30631,      -1.01959,   15.1261E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            12,             1,   233.956E-03,       2.02500,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -990.339E-03,      -1.34188,      -1.34186,  -990.357E-03,  -2.52432E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            13,             1,       1.96404,      -1.22601,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01116,      -1.32176,      -1.32104,      -1.01187,  -14.9015E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            14,             1,      -1.30359,       2.04775,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00003,      -1.33067,      -1.33043,      -1.00027,  -8.95340E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            15,             1,       1.94018,  -895.239E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01753,      -1.31693,      -1.31612,      -1.01834,  -15.5289E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            16,             1,   599.622E-03,       2.43406,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -994.029E-03,      -1.33625,      -1.33624,  -994.035E-03,   1.41365E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            17,             1,      -2.04501,   302.024E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01653,      -1.31057,      -1.31042,      -1.01668,  -6.69590E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            18,             1,       1.32360,      -2.03853,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -996.936E-03,      -1.33312,      -1.33267,  -997.385E-03,  -12.2711E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            19,             1,       1.90745,       2.38975,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -998.840E-03,      -1.32863,      -1.32837,  -999.093E-03,   9.12764E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            20,             1,       2.01432,   263.851E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.02565,      -1.30348,      -1.30335,      -1.02578,   6.05597E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            21,             1,   610.845E-03,      -2.21010,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -989.082E-03,      -1.33987,      -1.33979,  -989.160E-03,  -5.24694E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            22,             1,      -2.52810,      -1.41091,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00764,      -1.32048,      -1.32034,      -1.00778,   6.70594E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            23,             1,      -2.33392,   765.089E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.01076,      -1.31742,      -1.31717,      -1.01101,  -8.82510E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            24,             1,      -2.82853,       1.62928,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00561,      -1.32243,      -1.32232,      -1.00571,  -5.78888E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            25,             1,      -1.67005,      -2.67326,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00051,      -1.32684,      -1.32675,      -1.00061,   5.53244E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            26,             1,      -1.47178,      -3.12651,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",  -999.551E-03,      -1.32784,      -1.32780,  -999.585E-03,   3.32128E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            27,             1,      -1.77630,       1.23284,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00558,      -1.32361,      -1.32302,      -1.00617,  -13.6747E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            28,             1,       1.80501,  -583.146E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.02409,      -1.31096,      -1.31011,      -1.02493,  -15.5316E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            29,             1,       1.88560,  -563.830E-03,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.02436,      -1.31088,      -1.31018,      -1.02506,  -14.1135E-03
F:/Desktop/DeepOnet_Abaqus/StaticElasticJob8.odb,Step-1,Increment      1: Step Time =    1.000,"PLATE-1",            30,             1,      -1.97675,      -1.27339,            0.,"ASSEMBLY_PLATE-1__PICKEDSET2","ROCK","",      -1.00748,      -1.32037,      -1.32001,      -1.00784,   10.6599E-03
